V1,V2,p
"CM025523.1 Marmota monax (Woodchuck)","NC_026705.1 Cynomys leucurus (White-tailed prairie dog)",0.95568
"CM025523.1 Marmota monax (Woodchuck)","NC_025277.1 Tamias sibiricus (Siberian chipmunk)",0.932116
"NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)","MK305281.1 Marmota himalayana (Himalayan marmot)",0.972948
"NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)","NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)",0.982432
"NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)","MG450794.1 Cynomys gunnisoni gunnisoni",0.954913
"NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)","KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)",0.923352
"NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)","KP708706.1 Spermophilus dauricus (Daurian ground squirrel)",0.956468
"NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)","NC_032375.1 Tamias striatus (Eastern chipmunk)",0.931437
"NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)","NC_032373.1 Tamias dorsalis (Cliff chipmunk)",0.929104
"NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)","NC_032372.1 Tamias canipes (Gray-footed chipmunk)",0.933613
"NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)","NC_032371.1 Tamias rufus (Hopi chipmunk)",0.931437
"NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)","NC_032370.1 Tamias quadrivittatus (Colorado chipmunk)",0.930037
"NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)","NC_032376.1 Tamias umbrinus (Uinta chipmunk)",0.930659
"NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)","NC_032374.1 Tamias cinereicollis (Gray-collared chipmunk)",0.929104
"NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)","KY070177.1 Tamias ruficaudus simulans",0.93408
"NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)","KY070171.1 Tamias amoenus canicaudus",0.932087
"NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)","KY070168.1 Tamias ruficaudus ruficaudus",0.934701
"NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)","KY070157.1 Tamias amoenus luteiventris",0.927679
"NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)","NC_031210.1 Callospermophilus lateralis (Golden-mantled ground squirrel)",0.94512
"NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)","NC_031209.1 Urocitellus richardsonii (Richardson's ground squirrel)",0.959422
"NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)","NC_027278.1 Ictidomys tridecemlineatus (Thirteen-lined ground squirrel)",0.952537
"NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)","NC_026706.1 Cynomys ludovicianus (Black-tailed prairie dog)",0.952892
"NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)","NC_026705.1 Cynomys leucurus (White-tailed prairie dog)",0.954291
"NC_048490.1 Marmota vancouverensis (Vancouver Island marmot)","NC_025277.1 Tamias sibiricus (Siberian chipmunk)",0.929415
"MK305281.1 Marmota himalayana (Himalayan marmot)","NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)",0.974813
"MK305281.1 Marmota himalayana (Himalayan marmot)","MG450794.1 Cynomys gunnisoni gunnisoni",0.954757
"MK305281.1 Marmota himalayana (Himalayan marmot)","KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)",0.927705
"MK305281.1 Marmota himalayana (Himalayan marmot)","KP708706.1 Spermophilus dauricus (Daurian ground squirrel)",0.958022
"MK305281.1 Marmota himalayana (Himalayan marmot)","NC_032375.1 Tamias striatus (Eastern chipmunk)",0.933147
"MK305281.1 Marmota himalayana (Himalayan marmot)","NC_032373.1 Tamias dorsalis (Cliff chipmunk)",0.932214
"MK305281.1 Marmota himalayana (Himalayan marmot)","NC_032372.1 Tamias canipes (Gray-footed chipmunk)",0.934701
"MK305281.1 Marmota himalayana (Himalayan marmot)","NC_032371.1 Tamias rufus (Hopi chipmunk)",0.933769
"MK305281.1 Marmota himalayana (Himalayan marmot)","NC_032370.1 Tamias quadrivittatus (Colorado chipmunk)",0.932525
"MK305281.1 Marmota himalayana (Himalayan marmot)","NC_032376.1 Tamias umbrinus (Uinta chipmunk)",0.935012
"MK305281.1 Marmota himalayana (Himalayan marmot)","NC_032374.1 Tamias cinereicollis (Gray-collared chipmunk)",0.932214
"MK305281.1 Marmota himalayana (Himalayan marmot)","KY070177.1 Tamias ruficaudus simulans",0.935479
"MK305281.1 Marmota himalayana (Himalayan marmot)","KY070171.1 Tamias amoenus canicaudus",0.933956
"MK305281.1 Marmota himalayana (Himalayan marmot)","KY070168.1 Tamias ruficaudus ruficaudus",0.9375
"MK305281.1 Marmota himalayana (Himalayan marmot)","KY070157.1 Tamias amoenus luteiventris",0.930022
"MK305281.1 Marmota himalayana (Himalayan marmot)","NC_031210.1 Callospermophilus lateralis (Golden-mantled ground squirrel)",0.9512
"MK305281.1 Marmota himalayana (Himalayan marmot)","NC_031209.1 Urocitellus richardsonii (Richardson's ground squirrel)",0.96051
"MK305281.1 Marmota himalayana (Himalayan marmot)","NC_027278.1 Ictidomys tridecemlineatus (Thirteen-lined ground squirrel)",0.958139
"MK305281.1 Marmota himalayana (Himalayan marmot)","NC_026706.1 Cynomys ludovicianus (Black-tailed prairie dog)",0.953358
"MK305281.1 Marmota himalayana (Himalayan marmot)","NC_026705.1 Cynomys leucurus (White-tailed prairie dog)",0.953514
"MK305281.1 Marmota himalayana (Himalayan marmot)","NC_025277.1 Tamias sibiricus (Siberian chipmunk)",0.933613
"NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)","MG450794.1 Cynomys gunnisoni gunnisoni",0.958644
"NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)","KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)",0.924285
"NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)","KP708706.1 Spermophilus dauricus (Daurian ground squirrel)",0.960199
"NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)","NC_032375.1 Tamias striatus (Eastern chipmunk)",0.934701
"NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)","NC_032373.1 Tamias dorsalis (Cliff chipmunk)",0.933302
"NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)","NC_032372.1 Tamias canipes (Gray-footed chipmunk)",0.934857
"NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)","NC_032371.1 Tamias rufus (Hopi chipmunk)",0.934546
"NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)","NC_032370.1 Tamias quadrivittatus (Colorado chipmunk)",0.932836
"NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)","NC_032376.1 Tamias umbrinus (Uinta chipmunk)",0.932991
"NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)","NC_032374.1 Tamias cinereicollis (Gray-collared chipmunk)",0.933302
"NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)","KY070177.1 Tamias ruficaudus simulans",0.935479
"NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)","KY070171.1 Tamias amoenus canicaudus",0.934424
"NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)","KY070168.1 Tamias ruficaudus ruficaudus",0.9375
"NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)","KY070157.1 Tamias amoenus luteiventris",0.930334
"NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)","NC_031210.1 Callospermophilus lateralis (Golden-mantled ground squirrel)",0.94855
"NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)","NC_031209.1 Urocitellus richardsonii (Richardson's ground squirrel)",0.961443
"NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)","NC_027278.1 Ictidomys tridecemlineatus (Thirteen-lined ground squirrel)",0.957672
"NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)","NC_026706.1 Cynomys ludovicianus (Black-tailed prairie dog)",0.956157
"NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)","NC_026705.1 Cynomys leucurus (White-tailed prairie dog)",0.958489
"NC_042243.1 Marmota flaviventris (Yellow-bellied marmot)","NC_025277.1 Tamias sibiricus (Siberian chipmunk)",0.933147
"MG450794.1 Cynomys gunnisoni gunnisoni","KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)",0.921486
"MG450794.1 Cynomys gunnisoni gunnisoni","KP708706.1 Spermophilus dauricus (Daurian ground squirrel)",0.957169
"MG450794.1 Cynomys gunnisoni gunnisoni","NC_032375.1 Tamias striatus (Eastern chipmunk)",0.935012
"MG450794.1 Cynomys gunnisoni gunnisoni","NC_032373.1 Tamias dorsalis (Cliff chipmunk)",0.933271
"MG450794.1 Cynomys gunnisoni gunnisoni","NC_032372.1 Tamias canipes (Gray-footed chipmunk)",0.934047
"MG450794.1 Cynomys gunnisoni gunnisoni","NC_032371.1 Tamias rufus (Hopi chipmunk)",0.934047
"MG450794.1 Cynomys gunnisoni gunnisoni","NC_032370.1 Tamias quadrivittatus (Colorado chipmunk)",0.934452
"MG450794.1 Cynomys gunnisoni gunnisoni","NC_032376.1 Tamias umbrinus (Uinta chipmunk)",0.933271
"MG450794.1 Cynomys gunnisoni gunnisoni","NC_032374.1 Tamias cinereicollis (Gray-collared chipmunk)",0.932651
"MG450794.1 Cynomys gunnisoni gunnisoni","KY070177.1 Tamias ruficaudus simulans",0.933116
"MG450794.1 Cynomys gunnisoni gunnisoni","KY070171.1 Tamias amoenus canicaudus",0.934112
"MG450794.1 Cynomys gunnisoni gunnisoni","KY070168.1 Tamias ruficaudus ruficaudus",0.934202
"MG450794.1 Cynomys gunnisoni gunnisoni","KY070157.1 Tamias amoenus luteiventris",0.931584
"MG450794.1 Cynomys gunnisoni gunnisoni","NC_031210.1 Callospermophilus lateralis (Golden-mantled ground squirrel)",0.949174
"MG450794.1 Cynomys gunnisoni gunnisoni","NC_031209.1 Urocitellus richardsonii (Richardson's ground squirrel)",0.965394
"MG450794.1 Cynomys gunnisoni gunnisoni","NC_027278.1 Ictidomys tridecemlineatus (Thirteen-lined ground squirrel)",0.967009
"MG450794.1 Cynomys gunnisoni gunnisoni","NC_026706.1 Cynomys ludovicianus (Black-tailed prairie dog)",0.986965
"MG450794.1 Cynomys gunnisoni gunnisoni","NC_026705.1 Cynomys leucurus (White-tailed prairie dog)",0.99658
"MG450794.1 Cynomys gunnisoni gunnisoni","NC_025277.1 Tamias sibiricus (Siberian chipmunk)",0.9315
"KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)","KP708706.1 Spermophilus dauricus (Daurian ground squirrel)",0.926461
"KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)","NC_032375.1 Tamias striatus (Eastern chipmunk)",0.92755
"KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)","NC_032373.1 Tamias dorsalis (Cliff chipmunk)",0.933924
"KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)","NC_032372.1 Tamias canipes (Gray-footed chipmunk)",0.93268
"KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)","NC_032371.1 Tamias rufus (Hopi chipmunk)",0.931903
"KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)","NC_032370.1 Tamias quadrivittatus (Colorado chipmunk)",0.930193
"KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)","NC_032376.1 Tamias umbrinus (Uinta chipmunk)",0.931281
"KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)","NC_032374.1 Tamias cinereicollis (Gray-collared chipmunk)",0.933924
"KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)","KY070177.1 Tamias ruficaudus simulans",0.932525
"KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)","KY070171.1 Tamias amoenus canicaudus",0.931153
"KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)","KY070168.1 Tamias ruficaudus ruficaudus",0.932525
"KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)","KY070157.1 Tamias amoenus luteiventris",0.93174
"KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)","NC_031210.1 Callospermophilus lateralis (Golden-mantled ground squirrel)",0.920175
"KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)","NC_031209.1 Urocitellus richardsonii (Richardson's ground squirrel)",0.925529
"KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)","NC_027278.1 Ictidomys tridecemlineatus (Thirteen-lined ground squirrel)",0.926082
"KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)","NC_026706.1 Cynomys ludovicianus (Black-tailed prairie dog)",0.924596
"KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)","NC_026705.1 Cynomys leucurus (White-tailed prairie dog)",0.922419
"KP708708.1 Sciurotamias davidianus (Pere David's rock squirrel)","NC_025277.1 Tamias sibiricus (Siberian chipmunk)",0.925684
"KP708706.1 Spermophilus dauricus (Daurian ground squirrel)","NC_032375.1 Tamias striatus (Eastern chipmunk)",0.936723
"KP708706.1 Spermophilus dauricus (Daurian ground squirrel)","NC_032373.1 Tamias dorsalis (Cliff chipmunk)",0.933737
"KP708706.1 Spermophilus dauricus (Daurian ground squirrel)","NC_032372.1 Tamias canipes (Gray-footed chipmunk)",0.933116
"KP708706.1 Spermophilus dauricus (Daurian ground squirrel)","NC_032371.1 Tamias rufus (Hopi chipmunk)",0.933892
"KP708706.1 Spermophilus dauricus (Daurian ground squirrel)","NC_032370.1 Tamias quadrivittatus (Colorado chipmunk)",0.932898
"KP708706.1 Spermophilus dauricus (Daurian ground squirrel)","NC_032376.1 Tamias umbrinus (Uinta chipmunk)",0.935444
"KP708706.1 Spermophilus dauricus (Daurian ground squirrel)","NC_032374.1 Tamias cinereicollis (Gray-collared chipmunk)",0.933737
"KP708706.1 Spermophilus dauricus (Daurian ground squirrel)","KY070177.1 Tamias ruficaudus simulans",0.933892
"KP708706.1 Spermophilus dauricus (Daurian ground squirrel)","KY070171.1 Tamias amoenus canicaudus",0.93567
"KP708706.1 Spermophilus dauricus (Daurian ground squirrel)","KY070168.1 Tamias ruficaudus ruficaudus",0.934978
"KP708706.1 Spermophilus dauricus (Daurian ground squirrel)","KY070157.1 Tamias amoenus luteiventris",0.934083
"KP708706.1 Spermophilus dauricus (Daurian ground squirrel)","NC_031210.1 Callospermophilus lateralis (Golden-mantled ground squirrel)",0.949953
"KP708706.1 Spermophilus dauricus (Daurian ground squirrel)","NC_031209.1 Urocitellus richardsonii (Richardson's ground squirrel)",0.961359
"KP708706.1 Spermophilus dauricus (Daurian ground squirrel)","NC_027278.1 Ictidomys tridecemlineatus (Thirteen-lined ground squirrel)",0.956894
"KP708706.1 Spermophilus dauricus (Daurian ground squirrel)","NC_026706.1 Cynomys ludovicianus (Black-tailed prairie dog)",0.957169
"KP708706.1 Spermophilus dauricus (Daurian ground squirrel)","NC_026705.1 Cynomys leucurus (White-tailed prairie dog)",0.957245
"KP708706.1 Spermophilus dauricus (Daurian ground squirrel)","NC_025277.1 Tamias sibiricus (Siberian chipmunk)",0.93352
"NC_032375.1 Tamias striatus (Eastern chipmunk)","NC_032373.1 Tamias dorsalis (Cliff chipmunk)",0.953358
"NC_032375.1 Tamias striatus (Eastern chipmunk)","NC_032372.1 Tamias canipes (Gray-footed chipmunk)",0.952736
"NC_032375.1 Tamias striatus (Eastern chipmunk)","NC_032371.1 Tamias rufus (Hopi chipmunk)",0.953669
"NC_032375.1 Tamias striatus (Eastern chipmunk)","NC_032370.1 Tamias quadrivittatus (Colorado chipmunk)",0.952581
"NC_032375.1 Tamias striatus (Eastern chipmunk)","NC_032376.1 Tamias umbrinus (Uinta chipmunk)",0.95398
"NC_032375.1 Tamias striatus (Eastern chipmunk)","NC_032374.1 Tamias cinereicollis (Gray-collared chipmunk)",0.953358
"NC_032375.1 Tamias striatus (Eastern chipmunk)","KY070177.1 Tamias ruficaudus simulans",0.95227
"NC_032375.1 Tamias striatus (Eastern chipmunk)","KY070171.1 Tamias amoenus canicaudus",0.951246
"NC_032375.1 Tamias striatus (Eastern chipmunk)","KY070168.1 Tamias ruficaudus ruficaudus",0.952736
"NC_032375.1 Tamias striatus (Eastern chipmunk)","KY070157.1 Tamias amoenus luteiventris",0.951578
